年,月,行業別,營業額_千元,年月
2022,1,其他綜合商品零售業,9377264,202201
2022,1,食品、飲料及菸草製品零售業,30121288,202201
2022,1,文教育樂用品零售業,7272685,202201
2022,1,燃料及相關產品零售業,23426938,202201
2022,1,資通訊及家電設備零售業,26823895,202201
2022,1,汽機車及其零配件、用品零售業,71386056,202201
2022,1,電子購物及郵購業,37770709,202201
2022,1,餐飲業,72875456,202201
2022,2,百貨公司業,31610133,202202
2022,2,超級市場業,17810548,202202
2022,2,便利商店業,26706566,202202
2022,2,零售式量販業,17282006,202202
2022,2,其他綜合商品零售業,8298878,202202
2022,2,食品、飲料及菸草製品零售業,20954220,202202
2022,2,文教育樂用品零售業,7061834,202202
2022,2,燃料及相關產品零售業,20674747,202202
2022,2,資通訊及家電設備零售業,21525652,202202
2022,2,汽機車及其零配件、用品零售業,48479555,202202
2022,2,電子購物及郵購業,31928755,202202
2022,2,餐飲業,68733144,202202
2022,3,百貨公司業,29623471,202203
2022,3,超級市場業,18036771,202203
2022,3,便利商店業,29790314,202203
2022,3,零售式量販業,18190841,202203
2022,3,其他綜合商品零售業,9041498,202203
2022,3,食品、飲料及菸草製品零售業,22434499,202203
2022,3,文教育樂用品零售業,6819777,202203
2022,3,燃料及相關產品零售業,24789822,202203
2022,3,資通訊及家電設備零售業,24550874,202203
2022,3,汽機車及其零配件、用品零售業,64550129,202203
2022,3,電子購物及郵購業,35025307,202203
2022,3,餐飲業,67123423,202203
2022,4,百貨公司業,30671287,202204
2022,4,超級市場業,20093608,202204
2022,4,便利商店業,30016712,202204
2022,4,零售式量販業,18886617,202204
2022,4,其他綜合商品零售業,9479917,202204
2022,4,食品、飲料及菸草製品零售業,22661681,202204
2022,4,文教育樂用品零售業,6688988,202204
2022,4,燃料及相關產品零售業,23076735,202204
2022,4,資通訊及家電設備零售業,24723455,202204
2022,4,汽機車及其零配件、用品零售業,64157514,202204
2022,4,電子購物及郵購業,33986972,202204
2022,4,餐飲業,59796647,202204
2022,5,百貨公司業,22865553,202205
2022,5,超級市場業,21644158,202205
2022,5,便利商店業,30163986,202205
2022,5,零售式量販業,19181859,202205
